1	send-100mb-dev	1	2.1367781162261963	100	46.8
2	send-100mb-dev	2	3.41261887550354	100	29.3
3	send-100mb-dev	3	2.056691884994507	100	48.62
4	send-100mb-wan	1	1.9758663177490234	100	50.61
5	send-100mb-wan	2	2.6578433513641357	100	37.62
6	send-100mb-wan	3	3.6953482627868652	100	27.06
7	send-500mb-bulk	1	9.112029790878296	500	54.87
8	send-500mb-bulk	2	9.922386646270752	500	50.39
9	send-500mb-bulk	3	8.493807315826416	500	58.87
10	send-500mb-safe	1	3.125776529312134	500	159.96
11	send-500mb-safe	2	3.8080148696899414	500	131.3
12	send-500mb-safe	3	3.8150453567504883	500	131.06
13	send-1gb-compress	1	21.769216537475586	1024	47.04
14	send-1gb-compress	2	21.953335762023926	1024	46.64
15	send-1gb-compress	3	21.034928798675537	1024	48.68
16	dir-600-dev	1	2.958479881286621	117	39.55
17	dir-600-dev	2	31.508857250213623	117	3.71
18	dir-600-dev	3	31.471569776535034	117	3.72
19	dir-600-wan	1	2.956524610519409	117	39.57
20	dir-600-wan	2	31.636449813842773	117	3.7
21	dir-600-wan	3	31.777158737182617	117	3.68
22	delta-500mb-10pct	1	5.035133600234985	500	99.3
23	delta-500mb-10pct	2	5.278193950653076	500	94.73
24	delta-500mb-10pct	3	5.842990875244141	500	85.57
25	pull-100mb-dev	1	1.9654076099395752	100	50.88
26	pull-100mb-dev	2	0.2235126495361328	100	447.4
27	pull-100mb-dev	3	0.2271738052368164	100	440.19
28	delta-dir-600	1	79.31614375114441	117	1.48
29	delta-dir-600	2	79.87029647827148	117	1.46
30	delta-dir-600	3	80.50453472137451	117	1.45
